order_id,order_date,origin,destination,carrier,weight,volume,requested_delivery_date,actual_delivery_date,lead_time_days
1,2023-09-15,FactoryC,DC1,CarrierZ,166.12,1.704,2023-09-21,2023-09-25,10
2,2023-12-12,FactoryB,DC2,CarrierY,72.92,0.421,2023-12-18,2023-12-29,17
3,2023-08-18,FactoryB,DC2,CarrierZ,140.2,1.34,2023-09-01,2023-09-03,16
4,2023-12-20,FactoryD,DC2,CarrierX,162.94,0.785,2024-01-01,2024-01-08,19
5,2023-10-23,FactoryC,DC4,CarrierZ,80.28,0.36,2023-11-01,2023-11-11,19
6,2023-01-26,FactoryC,DC1,CarrierY,44.59,0.669,2023-02-01,2023-02-06,11
7,2023-02-13,FactoryA,DC3,CarrierZ,46.19,0.205,2023-02-24,2023-03-04,19
8,2023-05-03,FactoryB,DC5,CarrierY,56.36,0.459,2023-05-17,2023-05-27,24
9,2023-05-29,FactoryD,DC3,CarrierX,90.91,0.786,2023-06-09,2023-06-15,17
10,2023-05-29,FactoryD,DC4,CarrierX,51.18,0.86,2023-06-02,2023-06-12,14
11,2023-03-18,FactoryB,DC2,CarrierZ,168.44,1.972,2023-03-26,2023-04-02,15
12,2023-02-02,FactoryB,DC4,CarrierW,26.95,0.211,2023-02-10,2023-02-18,16
13,2023-11-16,FactoryC,DC1,CarrierY,56.8,0.193,2023-11-26,2023-12-06,20
14,2022-12-13,FactoryB,DC5,CarrierY,59.12,0.656,2022-12-19,2022-12-29,16
15,2023-10-10,FactoryC,DC4,CarrierY,6.5,0.084,2023-10-20,2023-10-29,19
16,2022-12-30,FactoryD,DC5,CarrierY,61.21,0.241,2023-01-15,2023-01-25,26
17,2023-11-27,FactoryA,DC1,CarrierX,77.59,0.639,2023-12-04,2023-12-18,21
18,2022-10-29,FactoryB,DC5,CarrierY,15.16,0.156,2022-11-06,2022-11-08,10
19,2022-11-13,FactoryD,DC2,CarrierZ,107.13,0.604,2022-11-22,2022-12-01,18
20,2022-07-22,FactoryB,DC3,CarrierX,98.86,1.398,2022-07-28,2022-08-05,14
21,2023-07-15,FactoryA,DC3,CarrierX,134.19,0.501,2023-07-22,2023-07-29,14
22,2022-01-16,FactoryB,DC4,CarrierW,71.99,0.322,2022-01-22,2022-01-27,11
23,2023-03-19,FactoryD,DC5,CarrierY,41.8,0.14,2023-03-23,2023-04-02,14
24,2023-04-26,FactoryA,DC4,CarrierY,1.43,0.006,2023-05-11,2023-05-19,23
25,2023-11-28,FactoryD,DC3,CarrierX,69.51,0.343,2023-12-05,2023-12-09,11
26,2022-01-12,FactoryC,DC4,CarrierY,82.49,0.415,2022-01-26,2022-02-02,21
